address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Capitao Avelino Carneiro;Penha de França;37;1;0;Apartamento;1490;2017;03603-010;Leste
Rua Maria José Rangel;Vila São Paulo;65;2;1;Casa;2200;2293;04650-180;Sul
Rua Doutor Ferreira Lopes;Vila Sofia;70;3;2;Apartamento;2100;3315;04672-080;Sul
Rua Edmundo Luís de Nóbrega Teixeira;Campo Grande;114;4;2;Casa;3500;3998;04677-030;Sul
Rua Oscar Freire;Cerqueira César;55;2;0;Apartamento;3950;5097;01426-000;Central
Rua Almirante Brasil;Mooca;50;2;1;Apartamento;1700;2424;03164-120;Leste
Avenida Yervant Kissajikian;Vila Constança;59;3;1;Apartamento;2100;2573;04657-000;Sul
Rua Professor José Miziara;Santa Teresinha;55;2;1;Apartamento;1900;2532;02460-060;Norte
Avenida Diógenes Ribeiro de Lima;Alto da Lapa;70;2;1;Apartamento;2450;2955;05458-000;Oeste
Rua Iguaré;Tatuapé;54;2;1;Apartamento;1400;2069;03077-010;Leste
Rua Diogo de Oliveira;Sítio do Morro;50;2;0;Apartamento;1590;1852;02553-040;Norte
Rua Votupoca;Vila Ipojuca;90;4;2;Apartamento;4200;5668;05055-000;Oeste
Rua Doutor Bento Teobaldo Ferraz;Várzea da Barra Funda;30;1;0;Apartamento;2122;2453;01140-070;Central
Avenida Miguel Frias E Vasconcelos;Jaguaré;80;2;0;Apartamento;3200;4187;05345-000;Oeste
Avenida Santa Marina;Água Branca;78;2;2;Apartamento;4000;4712;05036-000;Oeste
Rua Erva Imperial;Vila Alpina;45;2;1;Apartamento;1404;1853;03244-030;Leste
Rua Ponte Pensa;Parada Inglesa;37;2;0;Apartamento;1650;1949;02245-110;Norte
Rua Speers;Vila Sao Pedro;15;1;0;Studio e kitnet;950;1487;09210-200;Grande SP
Rua João Adolfo;Centro;26;1;0;Studio e kitnet;1750;2194;01050-020;Central
Rua Bento Freitas;República;29;1;0;Studio e kitnet;1300;1682;01220-000;Central
Rua Jesuíno Rabello;Vila Milton;60;2;1;Apartamento;1683;2159;07063-150;Grande SP
Avenida Bartholomeu de Carlos;Jardim Flor da Montanha;38;1;1;Studio e kitnet;1554;2238;07097-420;Grande SP
Rua Coronel Deraldo Jordão;Ipiranga;120;3;3;Casa;5500;5962;04125-030;Sul
Rua Bela Cintra;Consolação;55;1;0;Apartamento;3899;4467;04421-230;Sul
Avenida Benigno Carrera;Vila Campestre;35;1;0;Casa;874;961;04332-110;Sul
Avenida Tiradentes;Luz;48;2;1;Apartamento;2860;3406;01101-010;Central
Rua do Chico Nunes;Vila Andrade;36;2;0;Apartamento;980;1138;05734-110;Oeste
Rua Frei Gaspar;Mooca;33;1;0;Apartamento;3100;3600;03164-100;Leste
Rua Manuel Dias de Oliveira;Jardim Alvorada (zona Oeste);40;2;0;Apartamento;1101;1443;05528-010;Oeste
Rua Pedro de Melo Sousa;Vila Arcadia;39;1;0;Casa;938;1019;02911-100;Norte
Rua Joaquim Oliveira Freitas;Vila Mangalot;51;2;1;Apartamento;920;1572;05133-005;Oeste
Avenida Senador José Ermírio de Moraes;Tremembé;62;2;1;Apartamento;2300;2952;02357-000;Norte
Rua Domingos Lopes da Silva;Vila Suzana;35;1;1;Apartamento;959;1840;05641-030;Oeste
Avenida Ipiranga;República;29;1;0;Studio e kitnet;1725;2142;03026-005;Leste
Rua Porto de Palos;Jardim Peri;41;2;0;Apartamento;1000;1408;02977-080;Norte
Rua Fernando Dondon;Tatuapé;24;1;0;Studio e kitnet;1600;1964;03311-060;Leste
Rua Tenente-coronel Soares Neiva;Vila Aricanduva;37;2;0;Apartamento;1500;1728;03503-000;Leste
Rua Conselheiro Ramalho;Bela Vista;26;1;0;Studio e kitnet;1953;2338;01325-001;Central
Rua Tomé de Lara;Tucuruvi;41;2;0;Apartamento;1800;2019;02303-090;Norte
Rua Conselheiro Lafaiette;Mooca;30;1;0;Apartamento;1635;2033;03164-110;Leste
Rua Barão de Campinas;Campos Elíseos;12;1;0;Studio e kitnet;900;1125;01206-010;Central
Rua Maria Zélia;Piqueri;41;1;1;Casa;1550;1624;02913-070;Norte
Rua Ribeiro Marcondes;Vila Prudente;32;1;0;Studio e kitnet;1350;1502;03132-120;Leste
Avenida Ajarani;Cidade Patriarca;44;2;1;Apartamento;1800;2527;03548-000;Leste
Rua Antônio de Macedo Soares;Campo Belo;50;1;1;Apartamento;3350;4029;04605-000;Sul
Rua Martins Fontes;Centro;30;1;0;Apartamento;2600;3100;01046-001;Central
Avenida Rubens Fraga de Toledo Arruda;Engenheiro Goulart;46;2;0;Apartamento;1400;1758;03726-000;Leste
Avenida Nossa Senhora do Sabará;Vila Sofia;69;2;1;Apartamento;2170;3053;04685-000;Sul
Rua Raul Bispo dos Santos;Vila Pedra Branca;60;1;0;Casa;1100;1156;02635-150;Norte
Alameda Barros;Santa Cecília;30;1;0;Studio e kitnet;2327;2767;01226-001;Central
Avenida Aparecida do Rio Negro;Jardim Peri;43;2;1;Apartamento;1732;2078;05144-080;Oeste
Rua Desembargador Aragão;Vila Mariana;40;1;1;Studio e kitnet;4900;5471;04102-010;Sul
Rua Brigadeiro Tobias;Centro Histórico de São Paulo;32;1;0;Studio e kitnet;2000;2754;01032-030;Central
Rua Antônio Gomes Ferreira;Sacomã;32;2;0;Apartamento;1350;1652;04257-100;Sul
Rua Iquiririm;Vila Indiana;28;1;0;Studio e kitnet;1426;1928;05586-001;Oeste
Rua Anhanguera;Barra Funda;69;2;2;Apartamento;5390;6182;01135-000;Central
Rua Manuel Leiroz;Vila Penteado;41;2;0;Apartamento;1500;1958;03735-180;Leste
Praça Doutor Mário Margarido;Liberdade;30;1;0;Apartamento;1092;1474;01514-020;Central
Rua José Arzão;Vila Andrade;51;2;0;Apartamento;2480;3529;05750-260;Oeste
Avenida Padre Arlindo Vieira;Vila Vermelha;71;3;2;Apartamento;1900;2941;04182-001;Sul
Rua Luís Filipe Alberti;Jardim Maringá;41;2;1;Apartamento;1400;1951;03526-010;Leste
Rua Augusto Farina;Jardim Bonfiglioli;30;1;0;Studio e kitnet;1260;1338;05594-000;Oeste
Rua João José Pacheco;Jardim Vila Mariana;22;0;0;Studio e kitnet;2200;2808;04116-120;Sul
Rua Coronel Mursa;Brás;20;1;1;Apartamento;2600;2886;03043-050;Leste
Rua Pangaré;Vila Butantã;38;2;1;Apartamento;1995;2572;05360-130;Oeste
Rua Bartholomeu do Canto;Vila Palmeiras;34;2;0;Apartamento;1400;1754;02726-090;Norte
Avenida do Cursino;Vila Gumercindo;72;3;2;Apartamento;4000;4154;04132-000;Sul
Avenida Paes de Barros;Mooca;98;3;1;Apartamento;3000;3889;03114-000;Leste
Avenida Engenheiro Thomaz Magalhães;Sítio da Figueira;55;2;1;Apartamento;1750;2168;03211-020;Leste
Rua Bento Vieira;Ipiranga;55;2;1;Apartamento;2350;3310;04202-030;Sul
Rua Oscar Freire;Pinheiros;19;1;0;Studio e kitnet;3400;3905;01426-001;Central
Rua Francisco Luiz de Souza Júnior;Água Branca;44;2;0;Apartamento;1750;2178;05037-000;Oeste
Rua Heitor Penteado;Sumarezinho;55;2;1;Apartamento;2300;3039;05438-000;Oeste
Rua Henrique Sertório;Tatuapé;24;1;0;Studio e kitnet;1900;2430;03066-065;Leste
Largo do Arouche;República;30;1;0;Studio e kitnet;2390;3113;01210-000;Central
Rua Alfredo Pujol;Santana;26;1;0;Studio e kitnet;2500;2940;02017-000;Norte
Rua Gravi;Vila da Saúde;35;1;0;Casa;1400;1424;04138-001;Sul
Rua Guaraja;Vila Mazzei;70;2;1;Apartamento;1600;2131;02310-010;Norte
Rua Padre Lebret;Jardim Leonor;87;1;2;Apartamento;4500;6010;05653-160;Oeste
Avenida João Dias;Santo Amaro;67;2;1;Apartamento;1900;2964;04724-000;Sul
Rua Cristóvão Colombo;Jardim Vila Galvão;45;2;1;Apartamento;1443;1934;07054-030;Grande SP
Rua Capitão Teófilo;Centro;94;3;1;Apartamento;2200;2926;07011-050;Grande SP
Rua Avanhandava;Bela Vista;24;1;0;Studio e kitnet;2350;2892;01312-000;Central
Avenida Nove de Julho;Bela Vista;26;1;0;Studio e kitnet;1250;1629;01312-000;Central
Rua Catulo da Paixão Cearense;Vila da Saúde;75;3;2;Apartamento;3700;5068;04145-010;Sul
Avenida Raimundo Pereira de Magalhães;Jardim Iris;45;2;0;Apartamento;3000;3621;05144-000;Oeste
Rua Jequitinhonha;Campestre;85;3;2;Apartamento;2047;2691;09070-360;Grande SP
Rua Major Rubéns Florentino Vaz;Vila Pirajussara;14;1;0;Studio e kitnet;1750;1818;05580-100;Oeste
Avenida Sapopemba;Jardim Planalto;32;2;0;Apartamento;1800;2169;02859-140;Norte
Avenida do Cursino;Vila Moraes;63;2;1;Apartamento;2400;2993;04132-000;Sul
Avenida Carlos Ferreira Endres;Vila Endres;50;1;0;Apartamento;916;1000;07041-030;Grande SP
Rua dos Democratas;Vila Monte Alegre;48;2;1;Apartamento;1900;2774;04305-000;Sul
Rua Dom Estevão Pimentel;Chácara Belenzinho;56;3;1;Apartamento;2000;2937;03378-050;Leste
Rua Álvaro de Carvalho;Centro;26;1;0;Studio e kitnet;2450;2995;01050-070;Central
Avenida dos Ourives;Jardim Sao Saverio;43;2;0;Apartamento;1300;1700;04194-260;Sul
Avenida Piassanguaba;Planalto Paulista;27;1;0;Casa;1200;1343;04060-000;Sul
Rua Tenente Coronel Soares Neiva;Vila Aricanduva;35;2;0;Apartamento;1481;1788;03503-000;Leste
Rua Dom Paulo Pedrosa;Real Parque;80;1;1;Apartamento;3000;4206;05650-010;Oeste
Rua Gomes de Carvalho;Vila Olímpia;75;3;1;Apartamento;3200;4253;04547-000;Sul
Rua Camargo Aranha;Pacaembu;350;4;2;Casa;10400;11660;01236-040;Central
Rua Álvaro de Carvalho;Centro;37;2;0;Apartamento;2500;3220;01050-070;Central
Rua 17 de Janeiro;Paraíso do Morumbi;24;1;0;Apartamento;1100;1442;05706-305;Oeste
Rua Helvétia;Campos Elíseos;45;1;1;Apartamento;3100;3862;01215-010;Central
Rua Gravataí;Consolação;24;1;0;Studio e kitnet;3000;3575;01303-040;Central
Rua Mourato Coelho;Pinheiros;34;1;1;Studio e kitnet;3231;4083;05422-011;Oeste
Rua Paim;Bela Vista;50;1;1;Apartamento;4000;4918;01306-010;Central
Rua Cásper Líbero;Paulicéia;65;3;1;Apartamento;1560;2361;01031-001;Central
Rua Armando Pinelli;Taboão;54;2;1;Apartamento;1100;1743;09930-310;Grande SP
Rua José Bento;Cambuci;41;2;0;Apartamento;2090;2511;01523-030;Central
Rua Alves Guimarães;Pinheiros;33;1;0;Studio e kitnet;3417;4018;05410-000;Oeste
Rua Conde de São Joaquim;Bela Vista;35;1;1;Apartamento;1600;2490;01320-010;Central
Praça Alberto Lion;Cambuci;34;2;0;Apartamento;1443;1829;01515-000;Central
Rua Francisca Augusta da Rocha;Jardim Mariliza;42;2;0;Casa;1000;1126;02965-080;Norte
Rua Danton Vampre;Jardim Maringá;150;3;1;Casa;1880;1960;03525-020;Leste
Avenida Francisco Rodrigues;Vila Constança;64;2;1;Casa em condomínio;2200;2413;02259-000;Norte
Rua Paulistânia;Sumarezinho;31;1;0;Studio e kitnet;2620;3191;05437-000;Oeste
Rua Marie Nader Calfat;Jardim Ampliação;38;1;1;Studio e kitnet;2400;3014;05713-520;Oeste
Praça Conde Pedro Leonelli;Vila Rosália;57;2;1;Apartamento;1750;2298;07072-131;Grande SP
Rua Adele Zarzur;Jardim São José (zona Norte);50;1;0;Casa;850;887;02971-000;Norte
Rua José Pereira Barreto;Jardim Clímax;45;1;1;Casa;1200;1251;04177-350;Sul
Rua Santo Antônio;Bela Vista;29;1;0;Apartamento;1700;2199;01312-000;Central
Rua Santo Antônio;Bela Vista;37;2;0;Apartamento;2200;2814;01312-000;Central
Rua Rocha;Bela Vista;29;1;0;Studio e kitnet;1400;1721;01330-000;Central
Rua Itajaí;Mooca;76;3;1;Apartamento;4200;5319;03162-060;Leste
Rua Araguaia;Vila Curuca;64;2;1;Apartamento;3600;4459;09291-230;Grande SP
Rua Barbalha;Alto da Lapa;14;1;0;Studio e kitnet;700;811;05083-020;Oeste
Rua Eugênio de Medeiros;Pinheiros;34;1;1;Apartamento;4850;5677;05672-000;Oeste
Rodovia Raposo Tavares;Jardim Olympia;55;2;1;Apartamento;1800;2489;05551-065;Oeste
Rua das Palmeiras;Vila Buarque;12;1;0;Apartamento;2400;2855;01226-010;Central
Rua Pascoal Ranieri Mazzilli;Vila Mendes;67;2;1;Apartamento;2448;3169;03257-180;Leste
Avenida Condessa Elizabeth de Robiano;Penha de França;62;3;1;Apartamento;2100;2731;01142-300;Central
Avenida Leonardo da Vinci;Vila Guarani (z Sul);50;2;1;Apartamento;1450;2416;04310-001;Sul
Rua Bento Freitas;República;22;1;0;Studio e kitnet;2800;3329;01220-000;Central
Rua Desembargador Euclides da Silveira;Casa Verde;49;1;1;Apartamento;3500;4188;02511-010;Norte
Rua Ribeiro do Vale;Brooklin Paulista;35;1;0;Studio e kitnet;3700;4384;04561-000;Sul
Rua Palestina;Vila Mascote;130;3;1;Casa;4000;4311;04362-030;Sul
Avenida João Pessoa;Jardim Utinga;62;2;1;Apartamento;1900;2406;09230-650;Grande SP
Avenida Vereador José Diniz;Santo Amaro;25;1;0;Studio e kitnet;2600;3048;04604-000;Sul
Rua José Mandotti;Vila Augusta;25;1;1;Studio e kitnet;1800;2418;07025-190;Grande SP
Rua Joaquim Rodrigues Costa;Vila Maria Alta;25;2;0;Casa;1001;1043;02133-030;Norte
Avenida Cásper Líbero;Centro;27;1;0;Studio e kitnet;2000;2577;01031-001;Central
Avenida Giovanni Gronchi;Vila Andrade;98;3;2;Apartamento;2442;4507;04533-085;Sul
Rua Bispo Eugênio Demazemod 388 Apto 61;Vila Alpina;49;2;1;Apartamento;1050;1620;03206-040;Leste
Rua Rego Freitas;República;20;1;0;Studio e kitnet;1640;2133;01220-010;Central
Rua Bela Cintra;Consolação;48;1;1;Apartamento;2600;3597;04421-230;Sul
Rua Guaianases;Campos Elíseos;38;1;1;Apartamento;1500;1998;01204-000;Central
Rua Barão de Tatuí;Vila Buarque;21;1;0;Studio e kitnet;1000;1428;01226-030;Central
Rua Xavier Krauss;Vila Leopoldina;35;2;0;Apartamento;2550;3017;05305-010;Oeste
Rua Pamplona;Cerqueira César;49;1;1;Apartamento;3000;3967;01405-100;Central
Rua Professor Arnaldo João Semeraro;Jardim Santa Emilia;64;2;1;Apartamento;1550;2060;04183-000;Sul
Rua Dona Elisa;Barra Funda;70;3;1;Apartamento;4800;5790;01155-000;Central
Rua Cônego Vicente Miguel Marino;Barra Funda;99;3;2;Apartamento;4500;5566;01135-020;Central
Rua Frei Caneca;Consolação;28;1;0;Studio e kitnet;1700;2366;01307-000;Central
Rua Gustavo da Silveira;Vila Santa Catarina;160;4;1;Casa;3000;3137;04346-000;Sul
Rua Arnaldo Cintra;Vila Moreira;49;2;1;Apartamento;1995;2636;03088-000;Leste
Rua Otto de Barros;Vila Santo Estéfano;58;2;2;Apartamento;2120;3223;04152-050;Sul
Rua Santa Izabel;Vila Augusta;66;2;2;Apartamento;2600;3254;07023-022;Grande SP
Rua São Miguel;Bela Vista;35;1;1;Apartamento;2500;3296;01308-040;Central
Rua Riskallah Jorge;Centro Histórico de São Paulo;28;0;0;Studio e kitnet;1207;1647;01032-010;Central
